年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30	天候	光線	道路類別	速限	道路型態	事故位置	路面鋪裝	路面狀態	路面缺陷	障礙物	視距	號誌種類	號誌動作	分向設施	快車道或一般車道間	快慢車道間	路面邊線	事故類型及型態	事故類別
2012	6	11	9	35	24.800828	120.924904	0	1	0	8	1	5	40	14	9	1	5	4	5	7	4	4	10	5	5	1	20	2
2012	6	11	7	18	24.8024866	120.94977	0	1	0	8	1	5	40	14	9	1	5	4	5	7	4	4	10	5	5	2	10	2
2012	6	11	12	55	24.8049425	120.9723311				8			50															3
2012	6	11	10	55	24.8194051	120.9954455	0	1	0	8	1	5	50	14	11	1	5	4	5	7	4	4	1	4	5	2	18	2
2012	6	11	12	20	24.7981287	121.0067299	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	2	13	2
2012	6	11	15	1	24.794824	121.008804				8			50															3
2012	6	11	11	53	24.790707	120.939199				8			50															3
2012	6	11	11	29	24.83794545	120.9336942	0	2	0	8	1	5	50	14	8	1	5	4	5	7	4	4	1	4	4	2	13	2
2012	6	11	14	23	24.8166548	120.9733688				8			50															3
2012	6	11	17	35	24.8084811	120.966364				8			50															3
2012	6	11	18	40	24.7946545	120.9795099	0	1	0	8	1	5	50	3	9	1	5	4	5	7	4	4	9	5	5	2	17	2
2012	6	11	5	20	24.8100751	120.959111				8			50															3
2012	6	11	15	2	24.8085345	120.968985				8			50															3
2012	6	11	22	40	24.8073205	120.9727962				6			50															3
2012	6	11	22	42	24.8031779	120.980421	0	1	0	6	3	5	50	14	9	1	4	4	5	7	1	1	5	2	5	2	11	2
2012	6	12	11	16	24.7996061	120.950863				8			50															3
2012	6	11	9	0	24.8109866	120.9864175				8			50															3
2012	6	12	11	30	24.83794545	120.9336942				8			50															3
2012	6	11	14	7	24.8013374	120.9702389				8			50															3
2012	6	12	7	26	24.7946545	120.9795099				6			50															3
2012	6	12	11	40	24.7964808	120.9524293				6			50															3
2012	6	8	14	0	24.77689315	120.9396448				8			40															3
2012	6	11	8	23	24.79168195	120.973913				8			50															3
2012	6	11	12	10	24.7815191	120.99015				6			40															3
2012	6	6	18	24	24.8031813	120.993022	0	1	0	8	1	5	40	11	8	1	5	4	5	1	4	4	4	5	5	2	1	2
2012	6	12	19	59	24.8193464	120.979387				8			50															3
2012	6	4	17	31	24.8089239	120.978162	0	1	0	6	1	5	50	14	9	1	4	4	5	6	4	4	5	4	5	2	13	2
2012	6	7	8	50	24.8018053	120.9829618				8			50															3
2012	6	7	13	7	24.7785071	120.939158	0	1	0	8	1	5	40	3	1	1	5	4	5	7	4	4	10	5	5	2	17	2
2012	6	7	13	59	24.7355699	120.9126119				8			50															3
2012	6	10	8	33	24.79434355	120.9698818				8			40															3
2012	6	11	10	30	24.8142127	120.9742827				8			50															3
2012	6	5	21	25	24.78597275	120.988269				8			50															3
2012	6	12	21	56	24.7815604	121.0225342				8			50															3
2012	6	10	11	16	24.73055375	120.9417009				8			50															3
2012	6	6	18	42	24.7887326	120.9300059				8			50															3
2012	6	6	14	6	24.8044211	120.974534	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	13	2
2012	6	13	10	20	24.7544226	120.9559179	0	0	0	8	1	5	50	4	1	1	5	4	5	7	1	1	1	4	4	1	15	3
2012	6	9	14	33	24.7966834	120.9453212				8			50															3
2012	6	12	8	12	24.7884154	120.9680175				8			50															3
2012	6	13	12	3	24.8219504	120.9716382	0	1	0	8	1	5	50	4	2	1	5	4	5	7	1	1	10	5	5	2	17	2
2012	6	13	13	35	24.7982082	120.994391				8			50															3
2012	6	5	8	30	24.78894595	120.9301931	0	2	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	4	2	12	2
2012	6	5	13	45	24.810943	120.962472				8			50															3
2012	6	8	11	30	24.7996969	120.9515923	0	2	0	8	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	15	2
2012	6	13	17	35	24.7983487	121.0086791	0	1	0	8	1	5	50	4	2	1	5	4	5	7	4	4	10	5	1	2	18	2
2012	6	13	20	40	24.79311235	121.0115108				8																		3
2012	6	2	14	50	24.8017988	120.9702804				8			50															3
2012	6	8	14	50	24.83660525	120.9429498				8			50															3
2012	6	8	16	10	24.819359	120.9825494				8			50															3
2012	6	9	10	30	24.79817055	120.9359125				8			50															3
2012	6	12	8	5	24.7919685	121.0148844				6			50															3
2012	6	12	9	25	24.796843	120.956731				8			50															3
2012	6	12	16	3	24.73886285	120.9116707	0	1	0	6	3	5	50	11	8	1	4	4	5	1	4	4	1	3	4	2	16	2
2012	6	10	8	0	24.81192855	120.9218782	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	10	5	5	1	16	2
2012	6	14	11	3	24.7802672	121.0241642																						3
2012	6	14	7	47	24.8105021	120.9820787				8			50															3
2012	6	14	12	28	24.799157	120.96254				8			50															3
